"bimod","bistab","tree_type","cell"
FALSE,0,"tree_uni_scatter15",164
FALSE,0,"tree_tip_scatter15",164
FALSE,0,"tree_uni",48
FALSE,0,"tree_tip",48
FALSE,0,"tree_uni_scatter5",48
FALSE,0,"tree_tip_scatter5",48
FALSE,0,"tree_uni_scatter10",48
FALSE,0,"tree_tip_scatter10",48
FALSE,0,"tree_uni_scatter15",48
FALSE,0,"tree_tip_scatter15",48
FALSE,0,"tree_uni",114
FALSE,0,"tree_tip",114
FALSE,0,"tree_uni_scatter5",114
FALSE,0,"tree_tip_scatter5",114
FALSE,0,"tree_uni_scatter10",114
FALSE,0,"tree_tip_scatter10",114
FALSE,0,"tree_uni_scatter15",114
FALSE,0,"tree_tip_scatter15",114
FALSE,0,"tree_uni",118
TRUE,73.2328806425645,"tree_tip",118
FALSE,0,"tree_uni_scatter5",118
TRUE,72.5449354239462,"tree_tip_scatter5",118
FALSE,0,"tree_uni_scatter10",118
TRUE,70.5059134295641,"tree_tip_scatter10",118
FALSE,0,"tree_uni_scatter15",118
TRUE,88.7326427046081,"tree_tip_scatter15",118
FALSE,0,"tree_uni",75
FALSE,0,"tree_tip",75
FALSE,0,"tree_uni_scatter5",75
FALSE,0,"tree_tip_scatter5",75
FALSE,0,"tree_uni_scatter10",75
FALSE,0,"tree_tip_scatter10",75
FALSE,0,"tree_uni_scatter15",75
FALSE,0,"tree_tip_scatter15",75
FALSE,0,"tree_uni",6
FALSE,0,"tree_tip",6
FALSE,0,"tree_uni_scatter5",6
FALSE,0,"tree_tip_scatter5",6
FALSE,0,"tree_uni_scatter10",6
FALSE,0,"tree_tip_scatter10",6
FALSE,0,"tree_uni_scatter15",6
FALSE,0,"tree_tip_scatter15",6
TRUE,1.83765718758353,"tree_uni",162
FALSE,0,"tree_tip",162
FALSE,0,"tree_uni_scatter5",162
FALSE,0,"tree_tip_scatter5",162
FALSE,0,"tree_uni_scatter10",162
FALSE,0,"tree_tip_scatter10",162
FALSE,0,"tree_uni_scatter15",162
FALSE,0,"tree_tip_scatter15",162
TRUE,22.3900622187668,"tree_uni",25
TRUE,65.049436608485,"tree_tip",25
FALSE,0,"tree_uni_scatter5",25
TRUE,81.0601849795031,"tree_tip_scatter5",25
FALSE,0,"tree_uni_scatter10",25
TRUE,71.8087479165306,"tree_tip_scatter10",25
FALSE,0,"tree_uni_scatter15",25
TRUE,62.9363409972487,"tree_tip_scatter15",25
FALSE,0,"tree_uni",31
TRUE,72.6067451186443,"tree_tip",31
FALSE,0,"tree_uni_scatter5",31
FALSE,0,"tree_tip_scatter5",31
FALSE,0,"tree_uni_scatter10",31
FALSE,0,"tree_tip_scatter10",31
FALSE,0,"tree_uni_scatter15",31
FALSE,0,"tree_tip_scatter15",31
TRUE,6.72991607004016,"tree_uni",81
FALSE,0,"tree_tip",81
FALSE,0,"tree_uni_scatter5",81
FALSE,0,"tree_tip_scatter5",81
FALSE,0,"tree_uni_scatter10",81
FALSE,0,"tree_tip_scatter10",81
FALSE,0,"tree_uni_scatter15",81
FALSE,0,"tree_tip_scatter15",81
FALSE,0,"tree_uni",165
FALSE,0,"tree_tip",165
FALSE,0,"tree_uni_scatter5",165
FALSE,0,"tree_tip_scatter5",165
FALSE,0,"tree_uni_scatter10",165
FALSE,0,"tree_tip_scatter10",165
FALSE,0,"tree_uni_scatter15",165
FALSE,0,"tree_tip_scatter15",165
FALSE,0,"tree_uni",20
FALSE,0,"tree_tip",20
FALSE,0,"tree_uni_scatter5",20
FALSE,0,"tree_tip_scatter5",20
FALSE,0,"tree_uni_scatter10",20
FALSE,0,"tree_tip_scatter10",20
FALSE,0,"tree_uni_scatter15",20
FALSE,0,"tree_tip_scatter15",20
FALSE,0,"tree_uni",58
FALSE,0,"tree_tip",58
FALSE,0,"tree_uni_scatter5",58
FALSE,0,"tree_tip_scatter5",58
FALSE,0,"tree_uni_scatter10",58
FALSE,0,"tree_tip_scatter10",58
FALSE,0,"tree_uni_scatter15",58
FALSE,0,"tree_tip_scatter15",58
FALSE,0,"tree_uni",156
FALSE,0,"tree_tip",156
FALSE,0,"tree_uni_scatter5",156
FALSE,0,"tree_tip_scatter5",156
